,Review,Positive,Negative,Neutral
427,best product afford price  good servic  save electr happi product,0.595,0.0,0.405
428,happi product thank u flipcart give best price,0.573,0.0,0.427
429,design wise beauti lock qualiti  chiller tray veget box qualiti cheap accord price led light beauti l strong beliv samsung technolog sight awesom product blive close eye also beliv omnitech retail thank,0.241,0.0,0.759
430,excel  low noic,0.492,0.344,0.164
431,brought day back start give problem automat get defrost random timeic cream ice melt everi day alway see water droplet glass,0.0,0.119,0.881
432,work fridg good enough small famili egg tray useless good product horizont handl much convini apart ver good good cool,0.453,0.091,0.456
433, day use refriger fridg run smooth without make nois pretti much satisfi product chosen kudo flipkart offer fridg decent price samsung well awesom design,0.084,0.0,0.916
434,order product  jan deliv  smooth deliveryaft  hour put unit poweramazingno unwant soundsbut whenev put addit item make littl sound acceptablenext day put unit  solar system batteri backupagain amazingexcel small  day completedso far happi give  thank flipcart deliveri partner,0.063,0.0,0.937
435,write review almost one month usag product famili  member look fridg help need fridg good enough nice design fridg claim fastest ice make  yes compar brand fulfil claim less nois till hope continu silent overal good buy satisfi product yes thank flipkart time deliveri,0.378,0.0,0.622
436, day use give feedback  superb  cool less time  amaz look good  print lower drawer  extra featur keep patato onion power cord littl less compressor nois absolut  zero suggest custom purchas valu money also lg care person came instal provid inform good behavior,0.287,0.041,0.672
437,nice valu money product inner space enough space utilis quit practic make less nois qualiti top notch reliabl lg brand unquestion electronicsth deliveri good deliveri person help bring product second floor behaviour nice support like overal experi product deliveri,0.359,0.0,0.641
438,nice lg,0.737,0.0,0.263
439,best refriger  valu money purchas refriger big billion day nice offer,0.438,0.0,0.562
440,refriger realli awesom perform good cool got refriger good thank flipkart seller,0.57,0.0,0.43
441,good,1.0,0.0,0.0
442,thank u flipkart refriger price happi n day dont perform refrigeratorlet use  write review good small famili ,0.293,0.0,0.707
443,good,1.0,0.0,0.0
444,good refriger  perform good  littl bit nois come wise good  look good,0.677,0.0,0.323
445,deliv time great fridg  price thank u flipkart colour amaz love,0.607,0.0,0.393
446,adequ  peopl deliveri fast instal done next daybest valu money product cool good use week,0.286,0.0,0.714
447,nice  im happi see item  good product wroth amount,0.449,0.0,0.551
448,refriger perform good awesom design would like give  star flipkart receiv refriger ekart dent door flipkart gave support expect good door replac within  daysapplaud flipkart servic samsung team,0.314,0.0,0.686
449,good,1.0,0.0,0.0
450,one best refriger price rang qualiti product good color space also good good  peopl familyi face issu last  day one thing like fridg almost zero nois gave five start fantast machin,0.372,0.0,0.628
451,good,1.0,0.0,0.0
452,nice  good product,0.851,0.0,0.149
453,well like beauti,0.821,0.0,0.179
454,thank flipcart wonder deliveri look wise cute recommend refriger,0.689,0.0,0.311
455,model doesnot come cool pack fresh room review photo post model actual anoth model flipkart show review photo samsung refriger model alot confus dont know particular model worth buy like one model got good review use posit review rate model sell product,0.243,0.0,0.757
456,first thank flipkart two day safe deliveri receiv product even singl scratch come product  spacious suitabl famili  member two separ motor freezer refriger made impress samsung uniqu  convert technolog pretti use two side rack freezer also keep small item chocol  nail polish etc freezer space also hugedeodor filt,0.156,0.0,0.844
457,must buy need bigger size fridg optim space design bottl holder door suffici wide tall hold  cold drink bottl juic cartoon milk cartoon etc ice tray storag box come independ unit upon need remov freezer increas storag space similar tray halv freezer two also removablel light insid fridg temper glass shelv definit recommend productflipka,0.044,0.049,0.908
458,product excellentgo premium look provid excel cool got  valu money,0.398,0.0,0.602
459,definit recomend product samsung best refriger use wonder perform design low power concept deliveri guy coper safe delivari instal demo next day delivari thank flipkart,0.294,0.064,0.642
460,cool issu within one week usefreez look fine refriger worstcal customertom care mani time still  hour issu got resolv,0.313,0.0,0.687
461,got  ltr refriger exact within  day safe swift deliveri ekart demonstr done next day nice samsung servic engin wonder premium look silent refriger   convert invert technolog realli love thank  flipkart,0.362,0.0,0.638
462,found everyth perfect except fact freezer doesnt light fail digest place light night time almost imposs take anyth top freezer like ice cream without turn kitchen light,0.321,0.0,0.679
463,flipkart prompt delivey samsung  l frost free  refriger  good productth servic engin  samsung  kind enough answer queri demo helpfulthank flipkart,0.375,0.0,0.625
464,best lot refriger samsung right depend perform design would say im bit disappoint third tray narrow  overal good refriger pack absolut top class courier partner unfortun delay deliveri led minor hiccup eye close u trust brand samsung refriger,0.253,0.104,0.643
465,verri good verri comfort design style fast coll smart compress  year warranti,0.474,0.0,0.526
466,best refriger perform ice make time fast   min time compani  built quantiti best  best servic flipkart   peopl tri buy best refriger,0.497,0.0,0.503
467,superb product  fast deliveri deliveri men help thank flipkart,0.608,0.0,0.392
468,use month switch sound compressor first thought wasi work properlyso ice test convert water ice within hour note  noth els insid except water bottl dont know exact time check  min ice formedso far work perfect fine without notic sound,0.129,0.0,0.871
469,good product im happi purchas write review use  flipkart custom care help lg gave free demo  instal thank,0.529,0.0,0.471
470,look like small space good energi save  star rate refriger lg brand good packag ice tray egg tray attach issu happi product thank flipkart,0.424,0.0,0.576
471,nice refriger definit recommend u look  rang refriger best thing energi effici much heat dissip back stand come think go place wet areahappi shop,0.322,0.0,0.678
472,excel product lg refriger good product purchas happi itit beauti design classic lookal outsid goodfrom  insid also excel good  member famili best featur fastest ice makingthi featur awesom make ice cube   hrsbut got  day ago still instal done ownnot except thi,0.308,0.0,0.692
473,fridg good deliveri servic bad,0.309,0.372,0.319
474,nois everi  min like open close door ,0.294,0.0,0.706
475,nice beauti nice super design nice look valu money super finish back supercool,0.669,0.0,0.331
476,color shown trust everyon love design colour leathertextur finish side also look premiumdeliveri also satisfactori didnt find dent scratch bodi bought fridg review mani model hope work expectedso far perform real rate concern updat comment two month usagethank,0.229,0.0,0.771
477,super product color look design perform good like much narrow glass shelv one ice tray also small base drawer easi go one cannot draw smooth apart  thing remain option best,0.342,0.0,0.658
478,best perform best rate heat sideoveral best design good qualiti,0.721,0.0,0.279
479,happi product look awesom deliveri super fast promis date  may deliv  famili happi gift side parentsthank much flipkart great servic,0.391,0.0,0.609
480,go without think best servic receiv product shown pic thank deliveri team take good care last love product much thank flipkart,0.454,0.1,0.446
481,awesom product nice beauti design make nois good perform thank flipcart,0.506,0.0,0.494
482,supar,0.0,0.0,1.0
483,good product fast deliveri,0.492,0.0,0.508
484,excel product,0.75,0.0,0.25
485,valu money good product,0.492,0.0,0.508
486,good,1.0,0.0,0.0
487,quit good  good  bachelor ,0.744,0.0,0.256
488,best parchas thank flipkart,0.77,0.0,0.23
489,good,1.0,0.0,0.0
490,awesom product,0.0,0.0,1.0
491,good,1.0,0.0,0.0
492,nice,1.0,0.0,0.0
493,super product fast deliveri,0.565,0.0,0.435
494,good small fim   valu money good good,0.685,0.0,0.315
495,day instal demo deliveryth technician avail local luckili got donefirst day review cool amaz fastspaci inde satisfactori famili four check power consumpt far blast freez option amaz ice cube form within  updat review month usageid say go itbecaus five star rate tripe door fridg price segmentupd,0.049,0.0,0.951
496,fridg realli best low price unit state brand  whirlpool believ realli hard get good brand anoth brand price design qualiti realli stun superb compar brand simpli awesomemi thought refriger local scale refriger center univers insid food essenti life outsid door summari life event hous,0.209,0.065,0.726
497,instal  day back till perform wise great purchas  capac small famili cool good normal level  compart cool equal good updat review long use overal till great applianc look big brand valu money great servic instal flipkart whirlpool,0.471,0.0,0.529
498,refriger excel bought republ day sale offer design awesom cool featur mindblow space food drink enough made icecream test freez point result  love steel color got  year compressor warranti electr consumpt low cfl light excel product thank whirlpool,0.305,0.043,0.652
499,awesom tripl door fridg price rang cool superb differ set control differ compart veget compart spacious look promis long run,0.262,0.0,0.738
500,quit happi deliveri  fridg look awesom wait instal done updat instal completedupd    instal done whirlpool guy awesomeand make huge noisea littl normali updat get know power consumptionupd  use almost monthi say use much unit  unitday normal,0.062,0.0,0.938
501,amaz productvalu moneygo ,0.0,0.0,1.0
502,good design,0.744,0.0,0.256
503,appreci product,0.0,0.0,1.0
504,thank flipkart beauti worthi product awesom worth everi penni,0.386,0.0,0.614
505,satisfi product money suitabl small familyback open see wire defrost manual disappoint nobodi call instal  open first time put leg one leg fit proper make refrigir move somehow adjust legsotherwis everyth gud,0.071,0.077,0.852
506,product good excitedthank flipkart provid excel refriger afford prizei thank deliveri guy also,0.457,0.0,0.543
507,great product price rang origin product great qualiti meet expect storag coupl  member better go  ltr enough happi purchas,0.41,0.0,0.59
508,good refriger,0.744,0.0,0.256
509,review first coupl dayslook color textur feel pretti elegantcapac storag enough  people stock  day fruit veggi dairi snack  desertcool decent speed cool till nowoveral valu money ,0.084,0.0,0.916
510,price decent small famili  budget rang shelf perfor plastic coat wire differ compar variant temper acryl sheet instal support provid howev deliveri smooth happi servic,0.095,0.098,0.807
511,thank flipkart amaz producti happi  fast coriour servic,0.263,0.0,0.737
512,good,1.0,0.0,0.0
513,best product rang use last one half month fast cool low electr consumpt best  member small famili,0.415,0.081,0.504
514,averag qualitycolor goodsmal discolor present side,0.0,0.0,1.0
515,awesom product earli deliveri flipkart deliveri guy rude readi open box deliveri apart good experi worth everi penni design look wise quit impress well done samsung oper smooth silent build qualiti also good go without second thought regret ,0.355,0.059,0.587
516,wow mind blow refriger  flipkart  provid us awesom product violenc vibrat look cool back side heat common great build qualiti nice color reason price thank flipkart fast deliveri date anybodi need dont waist time go purchas  give   ,0.326,0.0,0.674
517,god product reput branddigit includ stabilizernic look feel happi good qualiti thanku flipkart provid best productflipkart good plate form best product,0.505,0.0,0.495
518,excel look updat technolog interior also good decent materi huge space singl door refriger side look like doubl door refriger,0.401,0.0,0.599
519,nice product genuin price perform product good cool also good design product nice  star rate product everyon buy thank flipkart build confid flipkart cool,0.521,0.0,0.479
520,deliveri execut nice person good behaviour flipkart servic great fast                        refriger look good design also nice famili member like itpric reasonablejust today instal fridz give second review fridz detail pros con use  daysi hope great deel samsungthankyou,0.463,0.0,0.537
521,good,1.0,0.0,0.0
522,nice refriger nice colour happi,0.651,0.0,0.349
523,super fridg like much,0.762,0.0,0.238
524,bad,0.0,1.0,0.0
525,valu money best small famili nice cool nice colour nice look,0.713,0.0,0.287
526,good,1.0,0.0,0.0
527,good,1.0,0.0,0.0
528,good,1.0,0.0,0.0
529,nice product  buy ,0.583,0.0,0.417
530,nice materi thank flipkart,0.726,0.0,0.274
531,flipkart deliveri awesom product also good price littl high  star fridg,0.225,0.0,0.775
532,good product  thank flipkart thank deliveri boy,0.664,0.0,0.336
533,write review one year useproduct awesomecool fantasticdesign good lookingmust buy,0.244,0.0,0.756
534,super,1.0,0.0,0.0
535,godrej indian brand good qualiti use godrej fridg past  year repairissu decid buy one good design insid outsid use  day seem like valu money budget friend option,0.333,0.0,0.667
536,give rate  day use good product good cool good small famili term capac  product valu money,0.478,0.0,0.522
537,absolut purchaselik lot godrej  lveri silent machinemi wife happi purchaseu compressor nois night time silenc everywher cool good keep vegit freshalway read instal manual instal deliveri good time mention flipkart product good conditionpackag well manufacturerno damageno complaint well recommend small familya happi product ,0.322,0.04,0.638
538,nice ,1.0,0.0,0.0
539,best budget recommend small famili less storag usag sinc  cool good issu still compressor sound audibl night otherwis quiet ok energi effici couldnt say anyth accord paper descript expect better old one review  day usag,0.37,0.0,0.63
540,nice podack,0.737,0.0,0.263
541,use product im write review product good nois make sound much compar product doesnt matter go final conclus worth,0.219,0.049,0.731
542,nyc,0.0,0.0,1.0
543,nice  product  within good rang money  valu money ,0.487,0.0,0.513
544,best productdeliv  day onlybest servic flipkarthigh recommend,0.573,0.0,0.427
545,verri good verri comfort design style fast coll smart compress  year warranti,0.474,0.0,0.526
546,best refriger perform ice make time fast   min time compani  built quantiti best  best servic flipkart   peopl tri buy best refriger,0.497,0.0,0.503
547,superb product  fast deliveri deliveri men help thank flipkart,0.608,0.0,0.392
548,use month switch sound compressor first thought wasi work properlyso ice test convert water ice within hour note  noth els insid except water bottl dont know exact time check  min ice formedso far work perfect fine without notic sound,0.129,0.0,0.871
549,good product im happi purchas write review use  flipkart custom care help lg gave free demo  instal thank,0.529,0.0,0.471
550,look like small space good energi save  star rate refriger lg brand good packag ice tray egg tray attach issu happi product thank flipkart,0.424,0.0,0.576
551,nice refriger definit recommend u look  rang refriger best thing energi effici much heat dissip back stand come think go place wet areahappi shop,0.322,0.0,0.678
552,excel product lg refriger good product purchas happi itit beauti design classic lookal outsid goodfrom  insid also excel good  member famili best featur fastest ice makingthi featur awesom make ice cube   hrsbut got  day ago still instal done ownnot except thi,0.308,0.0,0.692
553,fridg good deliveri servic bad,0.309,0.372,0.319
554,nois everi  min like open close door ,0.294,0.0,0.706
555,awesom fridg small famili  good condit cheapest price love thank flipkart ,0.545,0.0,0.455
556,nice wonder full refriger flipkart samsung good job  perfect price rang good ,0.606,0.0,0.394
557,good refriger price  cool fast nois silent refrigr best product flipcart price recomdand buy buy product samsung qualiti good,0.451,0.0,0.549
558,good qualiti style samsung awesom refriger thank flipkart,0.474,0.0,0.526
559,best segment truli valu money product,0.457,0.0,0.543
560,thank much,0.714,0.0,0.286
561,valu money,0.0,0.0,1.0
562,good,1.0,0.0,0.0
563,nice,1.0,0.0,0.0
564,nice,1.0,0.0,0.0
565,nice refriger lg small famili  silent oper  superb cool  best design   strong glass shelv  work home invert without  quick ice make   star  unit electr consumpt per year  bee rate year   stabil free operationcon  low size veget basket compar godrej  panason size fridg   low space  refriger compar brand price  littl bit ,0.302,0.063,0.634
566,beauti product shown imag valu money swift deliveri work fast fine first hour installationyou may go without second thought,0.175,0.0,0.825
567,nice product like outer  inner part beauti  electr unit   unityear buy ita great indian product great indian compani deliverythank flipcart,0.458,0.0,0.542
568,deliv timeperform well,0.512,0.0,0.488
569,deliveri mam annoy instal    complementari thing like water bottl  mat given product  els refriger  perfect   best use,0.395,0.11,0.494
570,good product nice colour,0.74,0.0,0.26
571,ok,1.0,0.0,0.0
572,good look best lg product good,0.769,0.0,0.231
573,price perfect refriget anoth compani coruior boy best,0.568,0.0,0.432
574,great,1.0,0.0,0.0
575,actual gift someon cannot review product specif  howev owner haier fridg otherwis also silent oper best featur capac haier custom servic also prompt friend thank team deliv product commit,0.385,0.0,0.615
576,thank god nice product low sound compressor one hour ice technolog ship also right time right place,0.329,0.093,0.578
577,compact   member familybachelor roomw good storag place cool effect also recommend budget famili,0.435,0.0,0.565
578,look cool good small famili bachelor room good use deep frizer great per specificationsth back refriger fulli close except bottom bottom open contain motor outlet pipe drain water storag contain aluminium end base,0.296,0.0,0.704
579,luk decent nicesimplegood small famili like mehon  instal today myselfso cant say bout energi effici let see com month electryc billhop besti recommend product small fmlysthank  flipkart fast servic,0.156,0.0,0.844
580,good valu money product perform awesom even extrem hot weather foot peg littl delic thermocol use base stand bought,0.139,0.0,0.861
581,use gor  day fridg work excel condit dedign good cool optimum sometim due load shed power cut  hour still product work awesom,0.29,0.074,0.636
582,super product flipcart deliveri super   star freez work  star rate good product thank u flipkart,0.569,0.0,0.431
583,nice cool smart led light function  hour make ice ekart courier patner servic favorableawesom fridg nice ekart servic,0.431,0.0,0.569
584,close eye go realli best select run without nois  star  rate work energi effici cool good short time one negat water compart defrost  cant view wise everyth great,0.346,0.065,0.589
585,model doesnot come cool pack fresh room review photo post model actual anoth model flipkart show review photo samsung refriger model alot confus dont know particular model worth buy like one model got good review use posit review rate model sell product,0.243,0.0,0.757
586,first thank flipkart two day safe deliveri receiv product even singl scratch come product  spacious suitabl famili  member two separ motor freezer refriger made impress samsung uniqu  convert technolog pretti use two side rack freezer also keep small item chocol  nail polish etc freezer space also hugedeodor filt,0.156,0.0,0.844
587,must buy need bigger size fridg optim space design bottl holder door suffici wide tall hold  cold drink bottl juic cartoon milk cartoon etc ice tray storag box come independ unit upon need remov freezer increas storag space similar tray halv freezer two also removablel light insid fridg temper glass shelv definit recommend productflipka,0.044,0.049,0.908
588,product excellentgo premium look provid excel cool got  valu money,0.398,0.0,0.602
589,definit recomend product samsung best refriger use wonder perform design low power concept deliveri guy coper safe delivari instal demo next day delivari thank flipkart,0.294,0.064,0.642
590,cool issu within one week usefreez look fine refriger worstcal customertom care mani time still  hour issu got resolv,0.313,0.0,0.687
591,got  ltr refriger exact within  day safe swift deliveri ekart demonstr done next day nice samsung servic engin wonder premium look silent refriger   convert invert technolog realli love thank  flipkart,0.362,0.0,0.638
592,found everyth perfect except fact freezer doesnt light fail digest place light night time almost imposs take anyth top freezer like ice cream without turn kitchen light,0.321,0.0,0.679
593,flipkart prompt delivey samsung  l frost free  refriger  good productth servic engin  samsung  kind enough answer queri demo helpfulthank flipkart,0.375,0.0,0.625
594,best lot refriger samsung right depend perform design would say im bit disappoint third tray narrow  overal good refriger pack absolut top class courier partner unfortun delay deliveri led minor hiccup eye close u trust brand samsung refriger,0.253,0.104,0.643
595,super lg compani product compani productvolu money best colour best qualiti best desin like product awesom best ,0.678,0.0,0.322
596,nice   famili member almost facil avail refriger best price middl class famili thank lg  flipkart,0.442,0.0,0.558
597,best small famili convert sudden requir  lg linear invert compressor  tough shelv silent function well light  go particular absenc separ door cool,0.306,0.053,0.641
598,love deliveri ekartth deliveri guy realli cooper politeapart perform lg product alway beyond doubt,0.225,0.134,0.642
599,nice,1.0,0.0,0.0
600,dazzl steel convert option shinni come convert brought dazzl convert make freezer normal cooler normal cooler freezer bottom one,0.0,0.0,1.0
601,bought dazzl steel convert want shine mirror like bodi go shini steel convert good product keep everyth realli fresh great valu money rich premium look nois less actual zero nois safe deliveri good packag came instal demo next day get deliveri day time sometim instal demo may done day itselftot good buy b,0.371,0.0,0.629
602,bought product februari till satisfi product featur point like light freezer except cool featur convert freezer also work expect overal cool fridg power consumpt bit high think per usag,0.215,0.0,0.785
603,must featurean option shut either part fridg particular time period save electr howev overal satisfi product thank whole chainmechan amaz fast deliveri,0.222,0.0,0.778
604,good product bodi design previous year model face issu lot complaint relat nois use last  day get sound fridg run overal great purchas time deliveri flipkart got instal next day overal pleasant experi,0.248,0.053,0.699
605,bought big billion product deliv promis salient featur  star silent function good space small medium famili go worth price,0.301,0.0,0.699
606,good  refriger  star   model  big billion day nov ,0.293,0.0,0.707
607,awesom,0.0,0.0,1.0
608,good,1.0,0.0,0.0
609,like product ,0.714,0.0,0.286
610,fantast,0.0,0.0,1.0
611,super good,1.0,0.0,0.0
612,su super,0.796,0.0,0.204
613,good qualiti,0.744,0.0,0.256
614,love,1.0,0.0,0.0
615,good product thank flipkart deliveri product villag  wishmast good man deliv order right locat right time thank,0.454,0.0,0.546
616,deliv schedul item per shown flipkart nice cool valu money,0.389,0.0,0.611
617,need absolut found product good good  litr fridg one awesom storag good capac moreov cool superb person recommend custom,0.575,0.0,0.425
618,samsung good product littl bit bad experi like loud sound side heat wise good flipkart alway sale good product trust flipkart alway,0.488,0.097,0.416
619,fridg first  hour heat normal cool like nice fridg,0.559,0.0,0.441
620,super,1.0,0.0,0.0
621,realli love nice cool well good,0.935,0.0,0.065
622,product good small famili precis bachelor tray veget bin plastic border glass sharp border caus serious cut handl proper rear side foot stand quit small definit buy fridg stand protect floor spillov coolpack although refer product kit defrost tray water spill defrost,0.117,0.072,0.81
623,valu moneyclean back  silent compressor nois  small   person famili ok drain water collect outsid  place compressor normal get evapor colour also good smooth lock could provid good product reliabl samsung,0.229,0.0,0.771
624,awesom price awesom work like,0.385,0.0,0.615
625,valu money good product,0.492,0.0,0.508
626,good,1.0,0.0,0.0
627,quit good  good  bachelor ,0.744,0.0,0.256
628,best parchas thank flipkart,0.77,0.0,0.23
629,good,1.0,0.0,0.0
630,awesom product,0.0,0.0,1.0
631,good,1.0,0.0,0.0
632,nice,1.0,0.0,0.0
633,super product fast deliveri,0.565,0.0,0.435
634,good small fim   valu money good good,0.685,0.0,0.315
635,item good sound qualiti good pictur good realm tv best,0.683,0.0,0.317
636,ertugrul fansthi icon tv awesom tv  inch sound beauti dolbi speakersconnect fast pictur qualiti best much appreci tv,0.198,0.0,0.802
637, year tv usag awesom tv superb sound  excel pictur qualiti download googl home app playstor connect phone tv  overal best tv price thank ,0.421,0.0,0.579
638,nice tv segment good see full hd display youtub work perfect  play store awesom overal  ,0.518,0.0,0.482
639,promis realmebett pictur better sound better visibilitybett speed connect better purchas anyon think buy android tv could wonder choic side view angl also wonder                  also familybett choic,0.266,0.0,0.734
640,awesom tv yrr agar tmhe lena h bina soch lelo liter tv awesom love,0.259,0.0,0.741
641,far soo good pictur qualiti amaz respect hd readi perspect sound superb connect issu lag face soo far noth complaint made mistak includ  protect buy tv wall mount jeev perfect charg  rs overal nice experi thank,0.407,0.086,0.507
642,icon tv best budget tvill experienc littl bit lagoveral tv goodperform good interest part speaker best dolbi atmo speaker ever seenoveral tv beasti hate tv pictur qualiti ill give  give best color tv screen purchas  extend warranti warranti agent repair tv door step,0.327,0.105,0.567
643,budget friend smart tv alllag issu remain work  part app like thop tv superbl oper easi even  yrs kid open smart tv use wifi normal set top box  sound enough live room cast voic assist slow respond overal great choic entertain,0.362,0.0,0.638
644,dont buy tvmi tv display work within  monthsit good tv valu moneygo good brand like lgsamsung soni,0.372,0.0,0.628
645,good product buy product price,0.42,0.0,0.58
646,per price valu product mark,0.0,0.0,1.0
647,nice product go velu money pictur qualiti suparb,0.286,0.0,0.714
648,super qualiti led dont think much go ,0.394,0.0,0.606
649,suggest purchas product full android simpl android support disney hotsatr buletoot connect,0.197,0.0,0.803
650,good tv compar otherd,0.492,0.0,0.508
651,valu money,0.0,0.0,1.0
652, product valu money,0.0,0.0,1.0
653,poor smart tv semi smart tv limit app dont buy,0.348,0.2,0.452
654,nice satisfi product,0.583,0.0,0.417
655,anyon read review pleas read complet test analys tv lot everi possibl  tv realli justifi price cannot compar tvs featur high end tv samsung soni  video qualiti quit great view angl intens colour chang fine concern price  sound qualiti awesom  dual speaker quit great dont ,0.192,0.0,0.808
656, look premium   speaker good well equal   display good prefer hd setup box   oper faster bluetooth remot slow sensor one  pathchwal great launcherg modern look   littl problem miracast  delay audio use googl home lagfre experi   tv look bezelless mode small border actual turn tv notic ,0.218,0.091,0.691
657,televis valu money bought  big billion day sale deliv  day instal done next day pictur qualiti good hard much differ feel full hd hd readi screen sound optim  face littl issu connect bluetooth earphon rest everyth good would definit recommend go product patchwal softwar great xiaomi near perfect ,0.271,0.024,0.706
658,best smart tv price segment though littl bit confus connect issu written review purchas tv frank speak use one month still issu connect everi function tv work smooth new android updat faster one thing must tell guy home theater system bluetooth connect wh,0.144,0.0,0.856
659,research lot buy tv almost spend week brows lot watch  hour video final within  tv purchas littl nervous first use lg  soni first time bought non premium product parent couldnt even pronounc xiomi honest even cant use tv week say go awesom tv perfect pictur qualiti user interfac yeah sound co,0.158,0.036,0.806
660,good smart tv budget  inch good size neither big small love ,0.45,0.179,0.371
661,one friend recommend mi led tv bought flipkart say best valu money android tv hous xiaomi pictur qualiti good even sound output superb thank ekart execut super fast deliveri instal happi purchas,0.482,0.0,0.518
662,best smart tv good sound realli like use  week,0.711,0.0,0.289
663,good tv nice mi,0.74,0.0,0.26
664,best tv budgetpro great sound pictur qualiti app conswhil mirror cast like  minut stop  cast rest great,0.512,0.076,0.412
665,anyon read review pleas read complet test analys tv lot everi possibl  tv realli justifi price cannot compar tvs featur high end tv samsung soni  video qualiti quit great view angl intens colour chang fine concern price  sound qualiti awesom  dual speaker quit great dont ,0.192,0.0,0.808
666, look premium   speaker good well equal   display good prefer hd setup box   oper faster bluetooth remot slow sensor one  pathchwal great launcherg modern look   littl problem miracast  delay audio use googl home lagfre experi   tv look bezelless mode small border actual turn tv notic ,0.218,0.091,0.691
667,televis valu money bought  big billion day sale deliv  day instal done next day pictur qualiti good hard much differ feel full hd hd readi screen sound optim  face littl issu connect bluetooth earphon rest everyth good would definit recommend go product patchwal softwar great xiaomi near perfect ,0.271,0.024,0.706
668,best smart tv price segment though littl bit confus connect issu written review purchas tv frank speak use one month still issu connect everi function tv work smooth new android updat faster one thing must tell guy home theater system bluetooth connect wh,0.144,0.0,0.856
669,research lot buy tv almost spend week brows lot watch  hour video final within  tv purchas littl nervous first use lg  soni first time bought non premium product parent couldnt even pronounc xiomi honest even cant use tv week say go awesom tv perfect pictur qualiti user interfac yeah sound co,0.158,0.036,0.806
670,good smart tv budget  inch good size neither big small love ,0.45,0.179,0.371
671,one friend recommend mi led tv bought flipkart say best valu money android tv hous xiaomi pictur qualiti good even sound output superb thank ekart execut super fast deliveri instal happi purchas,0.482,0.0,0.518
672,best smart tv good sound realli like use  week,0.711,0.0,0.289
673,good tv nice mi,0.74,0.0,0.26
674,best tv budgetpro great sound pictur qualiti app conswhil mirror cast like  minut stop  cast rest great,0.512,0.076,0.412
675,good pictur qualiti decent sound system sure go product price rang good deliveri flipkart,0.424,0.0,0.576
676,nice one price good samsung first samsung led tv  befor alway use lg time samsung im happi samsung led tv great job samsung flipkart thank  flipkart deliv lockdown also littl bit late great work flipkart good luck ,0.426,0.0,0.574
677,overal good compar price pictur qualiti good hd intertnet option also good afford good,0.537,0.0,0.463
678,wow surpris awesom nice pictur qualiti like full hd hd ultra hd  hdr deep colour true beauti colour extrem happi mind blow thank flipkart servic alreadi give rate  picturesoundconnect rate  ,0.365,0.0,0.635
679,hurri buy dont find bett deal like samsung trust custom valu go actual mani option price differ   dont want take chanc chines brand opt satisfi kid love compact size fit bedroom easili,0.307,0.03,0.663
680,nice tv within budget sound qualiti good pictur qualiti attach hdmi cabl set top box tv qualiti pretti goodthi tv come stand one option wall mount didnt like apart overal experi good,0.263,0.053,0.683
681,valu money pros pictur qualiti differ pictur modessound qualiti beyond expectationshav necessari app also download themsmooth interfac much lagconscast sometim picturevideo doesnt show castingthick besel  would say fantast product samsung happi didnt buy cheap chines altern go  inch hd readi smart tv choic love product,0.138,0.0,0.862
682,awesom one comparison onei total impressedthankusamsung  make type televis nice  buyit dont think  purchas samsung nice provid  ,0.272,0.0,0.728
683,realli awesom tv best qualiti good sound go guy bcz bettet mi tv  low prize best qualiti tv great tqq flipkart,0.522,0.059,0.419
684,good  tv,0.744,0.0,0.256
685,mi tv   deliv   instal   everyth smooth  tv good rich feel near bezel less metal frame design  new adapt bright featur realli good  adjust accord room light make view pleasant eye  ok googl work well  audio ok great  app volum good app like appl tv rise volum   panel va  contrast good good view angl  loos color  c,0.471,0.0,0.529
686,good tv decent pictur qualiti sound effect valu money expect tv work  year,0.195,0.0,0.805
687, pictur qualiti perfecti think better competitor price   video play perfect  bezel thinfor peopl dont like thick bezel perfect  patchwal look  biggest con tv speaker got  tv  w speaker believ old crt tv produc better sound think dolbi atmo stuff gimmick sound ur mail prioriti dont go,0.275,0.037,0.688
688,super awesom  mine  tv got deliv next day order instal badd respons flipkart finali call mi store day come tv spec  sound good bass  pictur qualiti awesom  adapt bright good fine u enjoy  connect fine ok  tv design awesom u may feel light electr shock corner u touch made  patch wall,0.342,0.041,0.617
689,come straight point tv feel bit laggi time switch app take time sound upto mark tri set avail optim couldnt definit use soundbar better experi also notic bug tv automat redirect patchwal play youtub video happen onceanoth bug saw switch sd hd channel autoscal crop half screen switch ag,0.135,0.0,0.865
690,great buyi confus see rate given peopl still went itand must say tv great happi completelyi  inch varientdisplay detail great red colour bit overwhelm tweak pictur set absolut stun watch cricket match movi absolut delightyou increas backlight adjust contrastbright per likingsoundsound great would reco,0.287,0.03,0.683
691,post review use tv   qualiti awesom everi pixel   video give awesom  qualiti better previous mi  speaker sound loud tv  speaker happi bass speaker bass price  good use  wifi remot smooth googl assist work  patchwal featur,0.149,0.0,0.851
692,dont listen review bs panel bright enough hdr wont visibl area much natur light tv view experi good albeit sound ok bass boomi wonder buy tv would suggest invest good soundbar home theatr system come soni  tv disappoint go buy tv wont disappoint al,0.201,0.099,0.7
693,fabul tv  bought  segment look premium tvpictur qualiti wowdolbi sound awesom connect also good  love go without doubt,0.38,0.0,0.62
694,product awesom pictur qualiti  upto mark sound qualiti valu money deliveri instal expectationawesomenot  instal day day tv deliv deliveri person good behavior  recommend want mi buy thank mi ,0.277,0.0,0.723
