,Review,Positive,Negative,Neutral
76,thing want beit work suprb fast due ssd valu money realli worth,0.242,0.0,0.758
77,write review product day use realli good laptop purpos attract design good perform etcon time deliveri thank flipkart,0.435,0.0,0.565
78,good experienceit better use offic home good game experi go,0.554,0.0,0.446
79,good choic price rang nice display light weight  also contain ms offic lifetim free version best choic student offic work  perfom well  ssd boot faster realli like product,0.447,0.0,0.553
80,nice laptop opinion best one happi first pc,0.538,0.0,0.462
81,vgood  ,0.0,0.0,1.0
82,bad,0.0,1.0,0.0
83,speaker complet work wellworst product pleas dont sold productmi experi youll definit helppleas dont sold,0.0,0.0,1.0
84,start hang within week,0.0,0.0,1.0
85,great product happi purchas,0.577,0.0,0.423
86,great product best product profession use note new buyer  wqxga display mention  wrong buy risk,0.339,0.212,0.449
87,best  small segment portabl power,0.512,0.0,0.488
88,review laptop use  weeksiv heard laptop heat realli quick didnt felt thing like laptop never reach  degre room temperatur even game  hour run most game high set  fps person tri  game valor apex legend run high set  fps even give  fps high set record valor,0.0,0.069,0.931
89,good product satisfi featur except batteri life awesom product wheather littl bit improv batteri life time,0.162,0.0,0.838
90,perform good expect price segment give intel    nvidia   issu normal use like surf  web handl heavi applic like matlab etc good code etc heavi gamer satisfi suit entri level lite gamer worst batteri back stand  hour normal usag heavi usag stand max  hour valu money laptop price se,0.187,0.071,0.743
91,post review  day usepro valu money          graphic card handl good applic          softwar game far cri  batman arkham          knight gonna instal coupl day          display good           keyboard good          batteri life also good yet con get heat realli quick game plus                     real hot            speaker averag overal price segment lapt,0.216,0.0,0.784
92,basic laptop well good huge huge huge problem batteri batteri drain fast cant imagin trust person use laptop say second worst part laptop speaker serious mobil phone play better sound laptop pros   laptop perform good   laptop display ok   get fast boot time  sec   con  worst batteri   ,0.322,0.215,0.462
93,best deal budget  boot fraction second realli fast perform wise best segment nvidia graphic card along  make ideal game  hevi task drawback batteri understand game laptop consum power rest thing enjoy sure want laptop,0.446,0.0,0.554
94,valu money  amaz laptop got  mind blow perfom take    sec boot  build qualiti also gooddesign excel  complet made plastic butbuild qualiti feel like mettal bodi  quick review ,0.18,0.0,0.82
95,total good laptop,0.592,0.0,0.408
96,amaz laptop premium profession look power hardwar sound bit low bought extern speaker problem everyth els laptop easili make thank alot flipkart fast safe deliveri,0.173,0.154,0.673
97,nice laptop good display  also well perform day day activ well gamingdefinit worth money  buy,0.541,0.0,0.459
98,good,1.0,0.0,0.0
99,confus asus lenovo  laptop chose go laptop build qualitylenovo  feel quit flimsi asus reinforc metal plate keyboard side support  ram ryzen  good everyday use light offic work like brows  tab oepn chrome  offic file heavi use option increas ram capacityssd read speed quit fast  write speed upto  th,0.153,0.0,0.847
100,absolut great product beauti design ip level display absolut stun packag secur toonow let come perform ssd insid give perform big boost  gig ram suffici light multitask ill add  ram later laptop boot  sec there lag app open closingbatteri perform good id say type document ms word laptop consum  batteri ,0.162,0.087,0.751
101,amaz laptop prize segment prize get type specif aspect like  ssd drive fhd display allround king processor unit everyth finei use laptop till  ago think right  display one good ip lcd display good resolut   maximum boot time taken approxim       round exc,0.293,0.0,0.707
102,first would like thank flipcart send great product  day  review  bought  big billion day sale  look laptop great  speed fantast run like butter daili         uses rememb game laptop dont tri heavi softwar instal android emul open softwar clear hear nois  boot  second  second thank nvme ssd rememb,0.342,0.0,0.658
103,product reali good valu money batteri life mark ok price rang best onlin class studi play small game big game like pubg gta  butin low set playpack also good genuin pack take time reboot   second light usag fast offic work studi best,0.371,0.037,0.592
104,price rang amaz laptop dont think go  bilt qualiti good  perform amaz  display great  batteri decent  best laptop student work multimedia consumpt  ryzen   prosessor amaz make fast ssd storag love,0.372,0.0,0.628
105,awesom laptop good offic normal work word  excel hard work offic need cost laptop otherwis awesom normal work offic,0.253,0.06,0.687
106, day review upgrad window  vga camera everyth  get heat u heavi work think everi laptop get heat cpu usag  use program n tool use vs code postman n also chrome  tab still  observ  ram updat ram   play asphalt  still  frd   gen laptop buy ryzen  laptop trust ryzen  give great perfo,0.182,0.0,0.818
107,attract design fast boot take  secondno lag multipl work display good best daili task game,0.417,0.104,0.478
108,best batteri life best perform boot fast fingerprint sensor fastful hd display etc everyth good price rang one thing miss bakelit keyboard good vivobook lineup laptop use last  day let see month work,0.324,0.037,0.639
109,great mid rang laptop form factor even better macbook air come great display  gen  processor pack  dual channel ram make complet packag overal,0.357,0.0,0.643
110,sturdi nice display best perform,0.7,0.0,0.3
111,wonder product,0.0,0.0,1.0
112,amaz let get detail here price best buy officecasu use averag game havent play high res game yet  ssd   hdd  window instal ssd load time turn start near  seconds usabl ram around   instal one slot anoth one free get anoth ram installed light doesnt cd drive honest dont think,0.131,0.083,0.786
113,product good fan run continu littl annoy live quiet peac areasecond thing mention build qualiti product made plastic best one littl low qualiti otherwis good product good display good perform good batteri life soun speaker also loud im satisfi product,0.368,0.088,0.544
114,thank flipkart fast deliveri lockdown zonenow write review  day use  better perform caus  ram  ssd boot  sec didnt face lag till  better batteri perform upto  hrs  fast  screen qualiti good littl bit backlight bleed issu caus ip display notic black  fan speed nois increas work load increas,0.275,0.0,0.725
115,use laptop  month best one avail price rang great smooth perform well good batteri life excel work studi play cs go run without lag excel product,0.569,0.0,0.431
116,got today thank flipkart fastest deliveri design display laptop awesom boot  sec setup thank ssd perform good batteri  hour fast charg preinstal microsoft offic life time webcam averag best laptop ssd hdd good perform qualiti product around ,0.319,0.0,0.681
117,good product hpthis laptop slim power prossergood batteri back design goodi got  recommend laptopthank flipcart good laptop,0.372,0.0,0.628
118,use  day  almost good laptop  ryzen  almost fast processor  time almost  second appear password screen os ssd make process fast alsoalmost valu money ,0.106,0.0,0.894
119,good beast price  also cheapest ssd laptop offer hp wont find anywher els thank flipkart quick deliveri,0.265,0.0,0.735
120, amaz best categori bought item prime purpos support daughter onlin class class xi use  day observ  speedi deliveri  thank flipkart speedi deliveri book  may even got deliv   morn realli  product style look feel  superb light weight handi quit present  speed perform    ssd boo,0.257,0.0,0.743
121,face issu system get hang coupl time last  week pls check purchas configur good price system hang issu spoiler,0.198,0.0,0.802
122,buy everyth good intel   enough good sinc quad core processor normal rang get dual core processor    batteri use upto  hour full charg charg speed high charg hour  normal batteri laptop doesnt last longer time enough display decent  view angl like smartphon okk display enough bright indoor normal work outdoor ,0.199,0.0,0.801
123,smooth perform,0.0,0.0,1.0
124,nice first day ,0.583,0.0,0.417
125,one js nice time deliveri,0.412,0.0,0.588
126,look promis   gen   core  thread good enough power daytoday task,0.244,0.0,0.756
127,good laptop,0.744,0.0,0.256
128,worth money price rang certain good choic,0.633,0.0,0.367
129,amaz priceit gave quad core dual storag space wow piec,0.297,0.0,0.703
130,worth backlit keyboard problem ,0.288,0.409,0.303
131,use month overal good product speed ssd superb,0.538,0.0,0.462
132,give review use  designdec colourgreat performancecon littl disappoint  pictur qualityu actual see display certain angl,0.118,0.152,0.73
133,nice laptop   good perform finger print avail,0.533,0.0,0.467
134,veryy capabl laptopon downsid display bake everyth perfectsup satisfi,0.0,0.0,1.0
135,valuabl product  good processor specif price  go,0.326,0.0,0.674
136,review  use  good  backup also enough  rough  window  amaz  good price  build qualiti averag best leptop   print  bodi,0.4,0.0,0.6
137,superb laptop  ,0.804,0.0,0.196
138,hve use product  day quit good perform wise good keyboard display also good speaker could littl bit louder still enough boot run pretti fast screen bleed issu  keyboard feel nice  level backlit present keyboard flex nice touchpad pretti normal batteri better expect usual use code give  hrs code normal dont,0.321,0.0,0.679
139,thing good rang batteri perform much good expect good batteri perform also like acer nitro ,0.505,0.0,0.495
